基金碼,年月日,基金統編,幣別,淨值(元)
T3341F 聯邦全視界平衡B$,2017/01/24,42449712F,USD,10.1208
T3614Y 安聯全球計量,2017/01/24,48738909,NTD,11.67
T3704Y 國泰平衡,2017/01/24,18494624,NTD,23.83
T3743A 國泰全多重平衡 A,2017/01/24,38582842A,NTD,10.12
T3743B 國泰全多重平衡 B,2017/01/24,38582842B,NTD,9.38
T3743C 國泰全多重平衡A$,2017/01/24,38582842C,USD,0.3665
T3743D 國泰全多重平衡B$,2017/01/24,38582842D,USD,0.3449
T3743E 國泰全多重平衡I$,2017/01/24,38582842E,USD,0.3809
T3743F 國泰全多重平衡AA,2017/01/24,38582842F,AUD,0.4253
T3769A 國泰亞太息平衡A,2017/01/24,42331684A,NTD,10.6382
T3769B 國泰亞太息平衡B,2017/01/24,42331684B,NTD,10.3045
T3769C 國泰亞太息平衡A$,2017/01/24,42331684C,USD,0.3378
T3769D 國泰亞太息平衡B$,2017/01/24,42331684D,USD,0.3272
T3769E 國泰亞太息平衡AC,2017/01/24,42331684E,RMB,2.2944
T3769F 國泰亞太息平衡AA,2017/01/24,42331684F,AUD,0.4449
T4126A 凱基全高效平衡A,2017/01/24,42453588A,NTD,9.97
T4126B 凱基全高效平衡B,2017/01/24,42453588B,NTD,9.97
T4126C 凱基全高效平衡A$,2017/01/24,42453588C,USD,10.0519
T4332Y 華頓中國機會平衡,2017/01/24,38634406,NTD,10.5598
T4519A 富蘭亞太平衡A,2017/01/24,42407614A,NTD,9.75
T4519B 富蘭亞太平衡B,2017/01/24,42407614B,NTD,9.68
T4519C 富蘭亞太平衡A$,2017/01/24,42407614C,USD,9.86
T4519D 富蘭亞太平衡B$,2017/01/24,42407614D,USD,9.79
T4519E 富蘭亞太平衡BC,2017/01/24,42407614E,RMB,9.85
T4703Y 台新高股息平衡,2017/01/24,21719942,NTD,27.1033
T4754A 台新歐洲動平衡,2017/01/24,42441752A,NTD,10.04
T4754B 台新歐洲動平衡 $,2017/01/24,42441752B,USD,10.0283
T0105Y 兆豐國際萬全,2017/01/20,00971976,NTD,17.58
T0121A 兆豐大中華平衡,2017/01/20,42334401A,NTD,9
T0121B 兆豐大中華平衡 $,2017/01/20,42334401B,USD,9.32
T0121C 兆豐大中華平衡 C,2017/01/20,42334401C,RMB,9.8
T0320Y 第一金中概平衡,2017/01/20,99353151,NTD,19.43
T0343A 第一金全球多息 A,2017/01/20,38539992A,NTD,10.2442
T0343B 第一金全球多息 B,2017/01/20,38539992B,NTD,9.2461
T0405Y 匯豐安富,2017/01/20,00971080,NTD,22.99
T0458A 匯豐中多息平Aa,2017/01/20,38647535A,NTD,9.956
T0458B 匯豐中多息平Bd,2017/01/20,38647535B,NTD,9.4255
T0458C 匯豐中多息平AaC,2017/01/20,38647535C,RMB,10.8638
T0458D 匯豐中多息平BdC,2017/01/20,38647535D,RMB,10.3367
T0458E 匯豐中多息平Aa$,2017/01/20,38647535E,USD,9.937
T0458F 匯豐中多息平Bd$,2017/01/20,38647535F,USD,9.4421
T0479A 匯亞exJP多息平 A,2017/01/20,42443317A,NTD,10.06
T0479B 匯亞exJP多息Bd,2017/01/20,42443317B,NTD,10.06
T0479C 匯亞exJP多息BdC,2017/01/20,42443317C,RMB,10.18
T0479D 匯亞exJP多息平A$,2017/01/20,42443317D,USD,10.05
T0479E 匯亞exJP多息Bd$,2017/01/20,42443317E,USD,10.05
T0479F 匯亞exJP多息BdA,2017/01/20,42443317F,AUD,10.2
T0591A 元大中平衡 CNY,2017/01/20,31830473B,RMB,2.87
T0591Y 元大中平衡 NTD,2017/01/20,31830473A,NTD,13.21
T05A2A 元大新東協平衡,2017/01/20,42403764A,NTD,9.4
T05A2B 元大新東協平衡 $,2017/01/20,42403764B,USD,9.43
T05A3A 元大大中華豐平,2017/01/20,42451239A,NTD,9.811
T05A3B 元大大中華豐平 C,2017/01/20,42451239B,RMB,9.915
T0717Y 瀚亞理財通,2017/01/20,18036769,NTD,19.75
T0747A 瀚亞亞太豐平衡 A,2017/01/20,38621330A,NTD,10.1984
T0747B 瀚亞亞太豐平衡 B,2017/01/20,38621330B,NTD,9.1884
T0747C 瀚亞亞太豐平衡A$,2017/01/20,38621330C,USD,10.1465
T0747D 瀚亞亞太豐平衡B$,2017/01/20,38621330D,USD,9.1463
T0747E 瀚亞亞太豐平衡AA,2017/01/20,38621330E,AUD,10.5261
T0747F 瀚亞亞太豐平衡BA,2017/01/20,38621330F,AUD,9.189
T0747G 瀚亞亞太豐平衡AZ,2017/01/20,38621330G,ZAR,11.8431
T0747H 瀚亞亞太豐平衡BZ,2017/01/20,38621330H,ZAR,9.9635
T0747J 瀚亞亞太豐平衡AC,2017/01/20,38621330I,RMB,10.8493
T0747K 瀚亞亞太豐平衡BC,2017/01/20,38621330J,RMB,9.3934
T0814Y 保德信金平衡,2017/01/20,18044064,NTD,25.97
T0890A 保德信中國好平A,2017/01/20,42330171A,NTD,9.2526
T0890B 保德信中國好平B,2017/01/20,42330171B,NTD,8.9893
T0890C 保德信中國好平B$,2017/01/20,42330171C,USD,8.9462
T0890D 保德信中國好平BC,2017/01/20,42330171D,RMB,8.9219
T1114Y 摩根平衡,2017/01/20,18036846,NTD,25.3
T1117Y 摩根全球平衡,2017/01/20,99181637,NTD,13.8303
T1120A 摩根亞高息平衡 A,2017/01/20,21704027A,NTD,12.7528
T1120B 摩根亞高息平衡 B,2017/01/20,21704027B,NTD,10.5928
T1148A 摩根新興雙利A,2017/01/20,42299565A,NTD,9.116
T1148B 摩根新興雙利B,2017/01/20,42299565B,NTD,8.4771
T1148C 摩根新興雙利B$,2017/01/20,42299565C,USD,8.4656
T1148D 摩根新興雙利BC,2017/01/20,42299565D,RMB,8.866
T1150A 摩根中國雙息平A,2017/01/20,42319892A,NTD,10.3049
T1150B 摩根中國雙息平B,2017/01/20,42319892B,NTD,9.7913
T1150C 摩根中國雙息平AC,2017/01/20,42319892C,RMB,11.2505
T1150D 摩根中國雙息平BC,2017/01/20,42319892D,RMB,10.5485
T1207Y 華南永昌龍盈平衡,2017/01/20,18477625,NTD,18.6809
T1239A 華南多重息平衡 A,2017/01/20,38618790A,NTD,10.6
T1239B 華南多重息平衡 B,2017/01/20,38618790B,NTD,9.65
T1239C 華南多重息平衡A$,2017/01/20,38618790C,USD,10.46
T1239D 華南多重息平衡B$,2017/01/20,38618790D,USD,9.4
T1252A 華南亞太動態平 A,2017/01/20,42388911A,NTD,9.67
T1252B 華南亞太動態平 B,2017/01/20,42388911B,NTD,9.49
T1414Y 新光福運平衡,2017/01/20,99975518,NTD,15.781
T1433A 新光美豐收平衡A,2017/01/20,42384458A,NTD,9.93
T1433B 新光美豐收平衡B,2017/01/20,42384458B,NTD,9.68
T1433C 新光美豐收平衡A$,2017/01/20,42384458C,USD,10.25
T1433D 新光美豐收平衡B$,2017/01/20,42384458D,USD,10.01
T1604Y 群益亞太新趨勢平,2017/01/20,48787295,NTD,15.08
T1616Y 群益真善美,2017/01/20,17147605,NTD,16.0088
T1617Y 群益平衡王,2017/01/20,18037845,NTD,18.4395
T1618Y 群益安家,2017/01/20,29243337,NTD,18.4918
T1656A 群益中國金采A,2017/01/20,42301416A,NTD,8.6606
T1656B 群益中國金采B,2017/01/20,42301416B,NTD,8.1298
T1656C 群益中國金采A$,2017/01/20,42301416C,USD,9.0312
T1656D 群益中國金采B$,2017/01/20,42301416D,USD,8.4772
T1656E 群益中國金采AC,2017/01/20,42301416E,RMB,9.6768
T1656F 群益中國金采BC,2017/01/20,42301416F,RMB,9.0832
T1659A 群益金選平衡A,2017/01/20,42440058A,NTD,9.8336
T1659B 群益金選平衡B,2017/01/20,42440058B,NTD,9.624
T1659C 群益金選平衡A$,2017/01/20,42440058C,USD,9.8925
T1659D 群益金選平衡B$,2017/01/20,42440058D,USD,9.6832
T1659E 群益金選平衡AC,2017/01/20,42440058E,RMB,10.1193
T1659F 群益金選平衡BC,2017/01/20,42440058F,RMB,9.9019
T2121A 柏瑞中國平衡A,2017/01/20,38651312A,NTD,9.3816
T2121B 柏瑞中國平衡B,2017/01/20,38651312B,NTD,8.7959
T2121C 柏瑞中國平衡A$,2017/01/20,38651312C,USD,9.3882
T2121D 柏瑞中國平衡B$,2017/01/20,38651312D,USD,8.7916
T2121E 柏瑞中國平衡AC,2017/01/20,38651312E,RMB,9.838
T2121F 柏瑞中國平衡BC,2017/01/20,38651312F,RMB,8.9658
T2121G 柏瑞中國平衡N,2017/01/20,38651312G,NTD,10.0514
T2121H 柏瑞中國平衡NC,2017/01/20,38651312H,RMB,10.2424
T2121L 柏瑞中國平衡N$,2017/01/20,38651312K,USD,9.8976
T2206Y 復華傳家,2017/01/20,17138818,NTD,18.4585
T2209Y 復華傳家二號,2017/01/20,18035945,NTD,21.6095
T2212Y 復華人生目標,2017/01/20,15742001,NTD,27.7495
T2213Y 復華全球平衡,2017/01/20,99034755A,NTD,17.72
T2214Y 復華神盾,2017/01/20,99607599,NTD,19.0597
T2217Y 復華亞太平衡,2017/01/20,48733658,NTD,12.1
T2291A 復華中新經濟平衡,2017/01/20,42303499A,NTD,8.37
T2291B 復華中新經濟平AC,2017/01/20,42303499B,RMB,9.34
T2291C 復華中新經濟平BC,2017/01/20,42303499C,RMB,8.87
T2507Y 永豐趨勢平衡,2017/01/20,14706582,NTD,38.32
T2605Y 中國信託精穩,2017/01/20,18038078,NTD,15.1841
T2624A 中信入息平衡A,2017/01/20,38530388A,NTD,10.0165
T2624B 中信入息平衡B,2017/01/20,38530388B,NTD,9.149
T2630A 中信亞太多元息A,2017/01/20,42329152A,NTD,10.1956
T2630B 中信亞太多元息B,2017/01/20,42329152B,NTD,9.8298
T2639A 中信樂齡收益平A,2017/01/20,42443702A,NTD,9.96
T2639B 中信樂齡收益平B,2017/01/20,42443702B,NTD,9.96
T2639C 中信樂齡收益平A$,2017/01/20,42443702C,USD,9.9
T2639D 中信樂齡收益平B$,2017/01/20,42443702D,USD,9.9
T2751A 宏亞澳入息成平A,2017/01/20,38585186A,NTD,9.6291
T2751B 宏亞澳入息成平B,2017/01/20,38585186B,NTD,8.5705
T2751C 宏亞澳入息成平A$,2017/01/20,38585186C,USD,9.6191
T2751D 宏亞澳入息成平B$,2017/01/20,38585186D,USD,8.5239
T2751E 宏亞澳入息成平AA,2017/01/20,38585186E,AUD,9.6425
T2751F 宏亞澳入息成平BA,2017/01/20,38585186F,AUD,8.3424
T2751G 宏亞澳入息成平AC,2017/01/20,38585186G,RMB,2.0696
T2751H 宏亞澳入息成平BC,2017/01/20,38585186H,RMB,1.8638
T3204Y 野村平衡,2017/01/20,17602250,NTD,16.24
T3221Y 野村鴻利,2017/01/20,00971103,NTD,17.97
T3295A 野村多元收益平A,2017/01/20,42391084A,NTD,9.8588
T3295B 野村多元收益平B,2017/01/20,42391084B,NTD,9.6203
T3295C 野村多元收益平A$,2017/01/20,42391084C,USD,10.0197
T3295D 野村多元收益平B$,2017/01/20,42391084D,USD,9.7783
T3295E 野村多元收益平AC,2017/01/20,42391084E,RMB,10.2181
T3295F 野村多元收益平BC,2017/01/20,42391084F,RMB,9.9321
T3308Y 聯邦金鑽平衡,2017/01/20,98669575,NTD,16.9817
T3328A 聯邦太平洋平衡A,2017/01/20,38546327A,NTD,11.1965
T3328B 聯邦太平洋平衡B,2017/01/20,38546327B,NTD,10.9208
T3328C 聯邦太平洋平衡AC,2017/01/20,38546327C,RMB,11.0251
T3341A 聯邦全視界平衡A,2017/01/20,42449712A,NTD,9.9953
T3341B 聯邦全視界平衡B,2017/01/20,42449712B,NTD,9.9953
T3341C 聯邦全視界平衡AC,2017/01/20,42449712C,RMB,10.1135
T3341D 聯邦全視界平衡BC,2017/01/20,42449712D,RMB,10.1135
T3341E 聯邦全視界平衡A$,2017/01/20,42449712E,USD,10.0867
T3341F 聯邦全視界平衡B$,2017/01/20,42449712F,USD,10.0867
T3614Y 安聯全球計量,2017/01/20,48738909,NTD,11.69
T3704Y 國泰平衡,2017/01/20,18494624,NTD,23.66
T3743A 國泰全多重平衡 A,2017/01/20,38582842A,NTD,10.09
T3743B 國泰全多重平衡 B,2017/01/20,38582842B,NTD,9.36
T3743C 國泰全多重平衡A$,2017/01/20,38582842C,USD,0.365
T3743D 國泰全多重平衡B$,2017/01/20,38582842D,USD,0.3435
T3743E 國泰全多重平衡I$,2017/01/20,38582842E,USD,0.3793
T3743F 國泰全多重平衡AA,2017/01/20,38582842F,AUD,0.4235
T3769A 國泰亞太息平衡A,2017/01/20,42331684A,NTD,10.6322
T3769B 國泰亞太息平衡B,2017/01/20,42331684B,NTD,10.2987
T3769C 國泰亞太息平衡A$,2017/01/20,42331684C,USD,0.3364
T3769D 國泰亞太息平衡B$,2017/01/20,42331684D,USD,0.3259
T3769E 國泰亞太息平衡AC,2017/01/20,42331684E,RMB,2.2923
T3769F 國泰亞太息平衡AA,2017/01/20,42331684F,AUD,0.4447
T4126A 凱基全高效平衡A,2017/01/20,42453588A,NTD,9.98
T4126B 凱基全高效平衡B,2017/01/20,42453588B,NTD,9.98
T4126C 凱基全高效平衡A$,2017/01/20,42453588C,USD,10.0086
T4332Y 華頓中國機會平衡,2017/01/20,38634406,NTD,10.5891
T4519A 富蘭亞太平衡A,2017/01/20,42407614A,NTD,9.72
T4519B 富蘭亞太平衡B,2017/01/20,42407614B,NTD,9.66
T4519C 富蘭亞太平衡A$,2017/01/20,42407614C,USD,9.81
T4519D 富蘭亞太平衡B$,2017/01/20,42407614D,USD,9.74
T4519E 富蘭亞太平衡BC,2017/01/20,42407614E,RMB,9.81
T4703Y 台新高股息平衡,2017/01/20,21719942,NTD,26.968
T4754A 台新歐洲動平衡,2017/01/20,42441752A,NTD,10.05
T4754B 台新歐洲動平衡 $,2017/01/20,42441752B,USD,9.9957
T0105Y 兆豐國際萬全,2017/01/13,00971976,NTD,17.49
T0121A 兆豐大中華平衡,2017/01/13,42334401A,NTD,8.91
T0121B 兆豐大中華平衡 $,2017/01/13,42334401B,USD,9.21
T0121C 兆豐大中華平衡 C,2017/01/13,42334401C,RMB,9.71
T0320Y 第一金中概平衡,2017/01/13,99353151,NTD,19.59
T0343A 第一金全球多息 A,2017/01/13,38539992A,NTD,10.3034
T0343B 第一金全球多息 B,2017/01/13,38539992B,NTD,9.2995
T0405Y 匯豐安富,2017/01/13,00971080,NTD,23.1
T0458A 匯豐中多息平Aa,2017/01/13,38647535A,NTD,9.9034
T0458B 匯豐中多息平Bd,2017/01/13,38647535B,NTD,9.3757
T0458C 匯豐中多息平AaC,2017/01/13,38647535C,RMB,10.7867
T0458D 匯豐中多息平BdC,2017/01/13,38647535D,RMB,10.2617
T0458E 匯豐中多息平Aa$,2017/01/13,38647535E,USD,9.863
T0458F 匯豐中多息平Bd$,2017/01/13,38647535F,USD,9.3702
T0479A 匯亞exJP多息平 A,2017/01/13,42443317A,NTD,10.09
T0479B 匯亞exJP多息Bd,2017/01/13,42443317B,NTD,10.09
T0479C 匯亞exJP多息BdC,2017/01/13,42443317C,RMB,10.19
T0479D 匯亞exJP多息平A$,2017/01/13,42443317D,USD,10.07
T0479E 匯亞exJP多息Bd$,2017/01/13,42443317E,USD,10.07
T0479F 匯亞exJP多息BdA,2017/01/13,42443317F,AUD,10.25
T0591A 元大中平衡 CNY,2017/01/13,31830473B,RMB,2.86
T0591Y 元大中平衡 NTD,2017/01/13,31830473A,NTD,13.16
T05A2A 元大新東協平衡,2017/01/13,42403764A,NTD,9.47
T05A2B 元大新東協平衡 $,2017/01/13,42403764B,USD,9.487
T05A3A 元大大中華豐平,2017/01/13,42451239A,NTD,9.823
T05A3B 元大大中華豐平 C,2017/01/13,42451239B,RMB,9.911
T0717Y 瀚亞理財通,2017/01/13,18036769,NTD,19.86
T0747A 瀚亞亞太豐平衡 A,2017/01/13,38621330A,NTD,10.2562
T0747B 瀚亞亞太豐平衡 B,2017/01/13,38621330B,NTD,9.2404
T0747C 瀚亞亞太豐平衡A$,2017/01/13,38621330C,USD,10.188
T0747D 瀚亞亞太豐平衡B$,2017/01/13,38621330D,USD,9.1837
T0747E 瀚亞亞太豐平衡AA,2017/01/13,38621330E,AUD,10.6299
T0747F 瀚亞亞太豐平衡BA,2017/01/13,38621330F,AUD,9.2796
T0747G 瀚亞亞太豐平衡AZ,2017/01/13,38621330G,ZAR,11.8998
T0747H 瀚亞亞太豐平衡BZ,2017/01/13,38621330H,ZAR,10.0112
T0747J 瀚亞亞太豐平衡AC,2017/01/13,38621330I,RMB,10.9163
T0747K 瀚亞亞太豐平衡BC,2017/01/13,38621330J,RMB,9.4514
T0814Y 保德信金平衡,2017/01/13,18044064,NTD,26.11
T0890A 保德信中國好平A,2017/01/13,42330171A,NTD,9.2029
T0890B 保德信中國好平B,2017/01/13,42330171B,NTD,8.9634
T0890C 保德信中國好平B$,2017/01/13,42330171C,USD,8.9235
T0890D 保德信中國好平BC,2017/01/13,42330171D,RMB,8.8978
T1114Y 摩根平衡,2017/01/13,18036846,NTD,25.43
T1117Y 摩根全球平衡,2017/01/13,99181637,NTD,13.8761
T1120A 摩根亞高息平衡 A,2017/01/13,21704027A,NTD,12.8306
T1120B 摩根亞高息平衡 B,2017/01/13,21704027B,NTD,10.6575
T1148A 摩根新興雙利A,2017/01/13,42299565A,NTD,9.1334
T1148B 摩根新興雙利B,2017/01/13,42299565B,NTD,8.4914
T1148C 摩根新興雙利B$,2017/01/13,42299565C,USD,8.4656
T1148D 摩根新興雙利BC,2017/01/13,42299565D,RMB,8.8575
T1150A 摩根中國雙息平A,2017/01/13,42319892A,NTD,10.165
T1150B 摩根中國雙息平B,2017/01/13,42319892B,NTD,9.6584
T1150C 摩根中國雙息平AC,2017/01/13,42319892C,RMB,11.0741
T1150D 摩根中國雙息平BC,2017/01/13,42319892D,RMB,10.3829
T1207Y 華南永昌龍盈平衡,2017/01/13,18477625,NTD,18.5952
T1239A 華南多重息平衡 A,2017/01/13,38618790A,NTD,10.61
T1239B 華南多重息平衡 B,2017/01/13,38618790B,NTD,9.66
T1239C 華南多重息平衡A$,2017/01/13,38618790C,USD,10.46
T1239D 華南多重息平衡B$,2017/01/13,38618790D,USD,9.39
T1252A 華南亞太動態平 A,2017/01/13,42388911A,NTD,9.72
T1252B 華南亞太動態平 B,2017/01/13,42388911B,NTD,9.54
T1414Y 新光福運平衡,2017/01/13,99975518,NTD,15.6851
T1433A 新光美豐收平衡A,2017/01/13,42384458A,NTD,9.94
T1433B 新光美豐收平衡B,2017/01/13,42384458B,NTD,9.7
T1433C 新光美豐收平衡A$,2017/01/13,42384458C,USD,10.26
T1433D 新光美豐收平衡B$,2017/01/13,42384458D,USD,10.01
T1604Y 群益亞太新趨勢平,2017/01/13,48787295,NTD,15.14
T1616Y 群益真善美,2017/01/13,17147605,NTD,15.9739
T1617Y 群益平衡王,2017/01/13,18037845,NTD,18.3912
T1618Y 群益安家,2017/01/13,29243337,NTD,18.4493
T1656A 群益中國金采A,2017/01/13,42301416A,NTD,8.6949
T1656B 群益中國金采B,2017/01/13,42301416B,NTD,8.162
T1656C 群益中國金采A$,2017/01/13,42301416C,USD,9.0473
T1656D 群益中國金采B$,2017/01/13,42301416D,USD,8.4923
T1656E 群益中國金采AC,2017/01/13,42301416E,RMB,9.6892
T1656F 群益中國金采BC,2017/01/13,42301416F,RMB,9.0948
T1659A 群益金選平衡A,2017/01/13,42440058A,NTD,9.8768
T1659B 群益金選平衡B,2017/01/13,42440058B,NTD,9.6663
T1659C 群益金選平衡A$,2017/01/13,42440058C,USD,9.9143
T1659D 群益金選平衡B$,2017/01/13,42440058D,USD,9.7045
T1659E 群益金選平衡AC,2017/01/13,42440058E,RMB,10.1365
T1659F 群益金選平衡BC,2017/01/13,42440058F,RMB,9.9187
T2121A 柏瑞中國平衡A,2017/01/13,38651312A,NTD,9.3839
T2121B 柏瑞中國平衡B,2017/01/13,38651312B,NTD,8.7981
T2121C 柏瑞中國平衡A$,2017/01/13,38651312C,USD,9.3761
T2121D 柏瑞中國平衡B$,2017/01/13,38651312D,USD,8.7804
T2121E 柏瑞中國平衡AC,2017/01/13,38651312E,RMB,9.8075
T2121F 柏瑞中國平衡BC,2017/01/13,38651312F,RMB,8.9381
T2121G 柏瑞中國平衡N,2017/01/13,38651312G,NTD,10.0539
T2121H 柏瑞中國平衡NC,2017/01/13,38651312H,RMB,10.2107
T2121L 柏瑞中國平衡N$,2017/01/13,38651312K,USD,9.8848
T2206Y 復華傳家,2017/01/13,17138818,NTD,18.2999
T2209Y 復華傳家二號,2017/01/13,18035945,NTD,21.4473
T2212Y 復華人生目標,2017/01/13,15742001,NTD,27.5013
T2213Y 復華全球平衡,2017/01/13,99034755A,NTD,17.67
T2214Y 復華神盾,2017/01/13,99607599,NTD,18.9051
T2217Y 復華亞太平衡,2017/01/13,48733658,NTD,12.05
T2291A 復華中新經濟平衡,2017/01/13,42303499A,NTD,8.32
T2291B 復華中新經濟平AC,2017/01/13,42303499B,RMB,9.27
T2291C 復華中新經濟平BC,2017/01/13,42303499C,RMB,8.82
T2507Y 永豐趨勢平衡,2017/01/13,14706582,NTD,38.17
T2605Y 中國信託精穩,2017/01/13,18038078,NTD,15.1918
T2624A 中信入息平衡A,2017/01/13,38530388A,NTD,10.0842
T2624B 中信入息平衡B,2017/01/13,38530388B,NTD,9.2108
T2630A 中信亞太多元息A,2017/01/13,42329152A,NTD,10.214
T2630B 中信亞太多元息B,2017/01/13,42329152B,NTD,9.8475
T2639A 中信樂齡收益平A,2017/01/13,42443702A,NTD,10.04
T2639B 中信樂齡收益平B,2017/01/13,42443702B,NTD,10.04
T2639C 中信樂齡收益平A$,2017/01/13,42443702C,USD,9.97
T2639D 中信樂齡收益平B$,2017/01/13,42443702D,USD,9.97
T2751A 宏亞澳入息成平A,2017/01/13,38585186A,NTD,9.6613
T2751B 宏亞澳入息成平B,2017/01/13,38585186B,NTD,8.5996
T2751C 宏亞澳入息成平A$,2017/01/13,38585186C,USD,9.642
T2751D 宏亞澳入息成平B$,2017/01/13,38585186D,USD,8.5442
T2751E 宏亞澳入息成平AA,2017/01/13,38585186E,AUD,9.6647
T2751F 宏亞澳入息成平BA,2017/01/13,38585186F,AUD,8.3603
T2751G 宏亞澳入息成平AC,2017/01/13,38585186G,RMB,2.0711
T2751H 宏亞澳入息成平BC,2017/01/13,38585186H,RMB,1.8642
T3204Y 野村平衡,2017/01/13,17602250,NTD,16.31
T3221Y 野村鴻利,2017/01/13,00971103,NTD,17.95
T3295A 野村多元收益平A,2017/01/13,42391084A,NTD,9.9099
T3295B 野村多元收益平B,2017/01/13,42391084B,NTD,9.6702
T3295C 野村多元收益平A$,2017/01/13,42391084C,USD,10.0598
T3295D 野村多元收益平B$,2017/01/13,42391084D,USD,9.8174
T3295E 野村多元收益平AC,2017/01/13,42391084E,RMB,10.2423
T3295F 野村多元收益平BC,2017/01/13,42391084F,RMB,9.9556
T3308Y 聯邦金鑽平衡,2017/01/13,98669575,NTD,16.8
T3328A 聯邦太平洋平衡A,2017/01/13,38546327A,NTD,11.2268
T3328B 聯邦太平洋平衡B,2017/01/13,38546327B,NTD,10.9596
T3328C 聯邦太平洋平衡AC,2017/01/13,38546327C,RMB,11.0317
T3341A 聯邦全視界平衡A,2017/01/13,42449712A,NTD,10.0294
T3341B 聯邦全視界平衡B,2017/01/13,42449712B,NTD,10.0294
T3341C 聯邦全視界平衡AC,2017/01/13,42449712C,RMB,10.1174
T3341D 聯邦全視界平衡BC,2017/01/13,42449712D,RMB,10.1174
T3341E 聯邦全視界平衡A$,2017/01/13,42449712E,USD,10.1096
T3341F 聯邦全視界平衡B$,2017/01/13,42449712F,USD,10.1096
T3614Y 安聯全球計量,2017/01/13,48738909,NTD,11.77
T3704Y 國泰平衡,2017/01/13,18494624,NTD,23.63
T3743A 國泰全多重平衡 A,2017/01/13,38582842A,NTD,10.12
T3743B 國泰全多重平衡 B,2017/01/13,38582842B,NTD,9.38
T3743C 國泰全多重平衡A$,2017/01/13,38582842C,USD,0.3656
T3743D 國泰全多重平衡B$,2017/01/13,38582842D,USD,0.3441
T3743E 國泰全多重平衡I$,2017/01/13,38582842E,USD,0.3799
T3743F 國泰全多重平衡AA,2017/01/13,38582842F,AUD,0.4269
T3769A 國泰亞太息平衡A,2017/01/13,42331684A,NTD,10.6699
T3769B 國泰亞太息平衡B,2017/01/13,42331684B,NTD,10.3352
T3769C 國泰亞太息平衡A$,2017/01/13,42331684C,USD,0.3371
T3769D 國泰亞太息平衡B$,2017/01/13,42331684D,USD,0.3265
T3769E 國泰亞太息平衡AC,2017/01/13,42331684E,RMB,2.2982
T3769F 國泰亞太息平衡AA,2017/01/13,42331684F,AUD,0.4487
T4126A 凱基全高效平衡A,2017/01/13,42453588A,NTD,9.99
T4126B 凱基全高效平衡B,2017/01/13,42453588B,NTD,9.99
T4126C 凱基全高效平衡A$,2017/01/13,42453588C,USD,10.0055
T4332Y 華頓中國機會平衡,2017/01/13,38634406,NTD,10.4807
T4519A 富蘭亞太平衡A,2017/01/13,42407614A,NTD,9.75
T4519B 富蘭亞太平衡B,2017/01/13,42407614B,NTD,9.68
T4519C 富蘭亞太平衡A$,2017/01/13,42407614C,USD,9.82
T4519D 富蘭亞太平衡B$,2017/01/13,42407614D,USD,9.75
T4519E 富蘭亞太平衡BC,2017/01/13,42407614E,RMB,9.81
T4703Y 台新高股息平衡,2017/01/13,21719942,NTD,27.013
T4754A 台新歐洲動平衡,2017/01/13,42441752A,NTD,10.1
T4754B 台新歐洲動平衡 $,2017/01/13,42441752B,USD,10.0263
T0105Y 兆豐國際萬全,2017/01/06,00971976,NTD,17.61
T0121A 兆豐大中華平衡,2017/01/06,42334401A,NTD,9.02
T0121B 兆豐大中華平衡 $,2017/01/06,42334401B,USD,9.24
T0121C 兆豐大中華平衡 C,2017/01/06,42334401C,RMB,9.78
T0320Y 第一金中概平衡,2017/01/06,99353151,NTD,19.68
T0343A 第一金全球多息 A,2017/01/06,38539992A,NTD,10.3661
T0343B 第一金全球多息 B,2017/01/06,38539992B,NTD,9.3883
T0405Y 匯豐安富,2017/01/06,00971080,NTD,23.07
T0458A 匯豐中多息平Aa,2017/01/06,38647535A,NTD,10.0349
T0458B 匯豐中多息平Bd,2017/01/06,38647535B,NTD,9.5002
T0458C 匯豐中多息平AaC,2017/01/06,38647535C,RMB,10.8071
T0458D 匯豐中多息平BdC,2017/01/06,38647535D,RMB,10.2711
T0458E 匯豐中多息平Aa$,2017/01/06,38647535E,USD,9.8718
T0458F 匯豐中多息平Bd$,2017/01/06,38647535F,USD,9.3704
T0479A 匯亞exJP多息平 A,2017/01/06,42443317A,NTD,10.07
T0479B 匯亞exJP多息Bd,2017/01/06,42443317B,NTD,10.07
T0479C 匯亞exJP多息BdC,2017/01/06,42443317C,RMB,10.09
T0479D 匯亞exJP多息平A$,2017/01/06,42443317D,USD,9.97
T0479E 匯亞exJP多息Bd$,2017/01/06,42443317E,USD,9.97
T0479F 匯亞exJP多息BdA,2017/01/06,42443317F,AUD,10.28
T0591A 元大中平衡 CNY,2017/01/06,31830473B,RMB,2.85
T0591Y 元大中平衡 NTD,2017/01/06,31830473A,NTD,13.29
T05A2A 元大新東協平衡,2017/01/06,42403764A,NTD,9.59
T05A2B 元大新東協平衡 $,2017/01/06,42403764B,USD,9.487
T05A3A 元大大中華豐平,2017/01/06,42451239A,NTD,9.895
T05A3B 元大大中華豐平 C,2017/01/06,42451239B,RMB,9.875
T0717Y 瀚亞理財通,2017/01/06,18036769,NTD,19.9
T0747A 瀚亞亞太豐平衡 A,2017/01/06,38621330A,NTD,10.2761
T0747B 瀚亞亞太豐平衡 B,2017/01/06,38621330B,NTD,9.2971
