Current,,,,,,,,,,,,,
,,,,,,,,,,,,,
基金碼,基金ISIN Code,基金統編,基金全稱,幣別,經理公司,目前狀態,成立日,清算/合併日,型態,類型,公會分類,投資標的,清算/合併說明
00654R 富邦印度反1,TW00000654R9,42376984,富邦印度 ETF傘型證券投資信託基金－富邦印度 NIFTY單日反向一倍證券投資信託基金,NTD,富邦證券投資信託,Current,2016/03/16,,"國內募集,投資國內外",開放,其他市場反向ETF,ETF,
00655L 國泰中國A50正2,TW00000655L9,42385148,國泰 A50傘型證券投資信託基金之富時中國 A50單日正向 2倍證券投資信託基金,NTD,國泰證券投資信託,Current,2016/03/08,,"國內募集,投資國內外",開放,跨國-中國二倍ETF,ETF,
00656R 國泰中國A50反1,TW00000656R4,42385127,國泰 A50傘型證券投資信託基金之富時中國 A50單日反向 1倍證券投資信託基金,NTD,國泰證券投資信託,Current,2016/03/08,,"國內募集,投資國內外",開放,跨國-中國反向ETF,ETF,
00657 國泰日經225,TW0000065705,42389475,國泰日本 ETF傘型證券投資信託基金之日經 225證券投資信託基金,NTD,國泰證券投資信託,Current,2016/04/25,,"國內募集,投資國內外",開放,日本ETF,ETF,
00657K 國泰日經225+U,TW00000657K7,,國泰日本 ETF傘型證券投資信託基金之日經 225證券投資信託基金- 掛美元ETF受益憑證,USD,國泰證券投資信託,Current,2017/10/24,,"國內募集,投資國內外",開放,日本ETF,ETF,
00658L 國泰日本正2,TW00000658L3,42389496,國泰日本 ETF傘型證券投資信託基金之富時日本單日正向 2倍證券投資信託基金,NTD,國泰證券投資信託,Current,2016/04/25,,"國內募集,投資國內外",開放,日本二倍ETF,ETF,
00659R 國泰日本反1,TW00000659R8,42389480,國泰日本 ETF傘型證券投資信託基金之富時日本單日反向 1倍證券投資信託基金,NTD,國泰證券投資信託,Current,2016/04/25,,"國內募集,投資國內外",開放,日本反向ETF,ETF,
00660 元大歐洲50,TW0000066000,42398684,元大已開發國家傘型證券投資信託基金之元大歐洲50證券投資信託基金,NTD,元大證券投資信託,Current,2016/06/01,,"國內募集,投資國內外",開放,跨國-區域一般ETF,ETF,
00661 元大日經225,TW0000066109,42398663,元大已開發國家傘型證券投資信託基金之元大日經 225證券投資信託基金,NTD,元大證券投資信託,Current,2016/06/01,,"國內募集,投資國內外",開放,日本ETF,ETF,
00662 富邦NASDAQ,TW0000066208,42399305,富邦NASDAQ-100證券投資信託基金,NTD,富邦證券投資信託,Current,2016/06/03,,"國內募集,投資國內外",開放,美國ETF,ETF,
