Date,Nav,Mid Bid/Ask,P/D to NAV,P/D Indicator
12/27/2017,40.0042,39.965,-0.10%,Discount
12/26/2017,40.034,39.975,-0.15%,Discount
12/22/2017,39.8322,39.8,-0.08%,Discount
12/21/2017,39.7888,39.78,-0.02%,Discount
12/20/2017,39.6611,39.59,-0.18%,Discount
12/19/2017,39.6129,39.57,-0.11%,Discount
12/18/2017,39.5575,39.535,-0.06%,Discount
12/15/2017,39.5695,39.56,-0.02%,Discount
12/14/2017,39.5489,39.4,-0.38%,Discount
12/13/2017,39.448,39.41,-0.10%,Discount
12/12/2017,39.5437,39.55,0.02%,Premium
12/11/2017,39.5693,39.565,-0.01%,Discount
12/08/2017,39.4566,39.445,-0.03%,Discount
12/07/2017,39.3964,39.435,0.10%,Premium
12/06/2017,39.2274,39.215,-0.03%,Discount
12/05/2017,39.4112,39.41,0.00%,Discount
12/04/2017,39.408,39.36,-0.12%,Discount
12/01/2017,39.5145,39.525,0.03%,Premium
11/30/2017,39.4064,39.365,-0.11%,Discount
11/29/2017,39.3468,39.31,-0.09%,Discount
11/28/2017,39.4417,39.455,0.03%,Premium
11/27/2017,39.4949,39.45,-0.11%,Discount
11/24/2017,39.5422,39.545,0.01%,Premium
11/22/2017,39.4304,39.4,-0.08%,Discount
11/21/2017,39.4549,39.455,0.00%,Premium
11/20/2017,39.3848,39.35,-0.09%,Discount
11/17/2017,39.3459,39.335,-0.03%,Discount
11/16/2017,39.3125,39.295,-0.05%,Discount
11/15/2017,39.354,39.315,-0.10%,Discount
11/14/2017,39.4158,39.37,-0.12%,Discount
11/13/2017,39.5362,39.55,0.04%,Premium
11/10/2017,39.5407,39.535,-0.01%,Discount
11/09/2017,39.5889,39.555,-0.09%,Discount
11/08/2017,39.4793,39.485,0.01%,Premium
11/07/2017,39.5764,39.575,0.00%,Discount
11/06/2017,39.603,39.585,-0.05%,Discount
11/03/2017,39.5113,39.48,-0.08%,Discount
11/02/2017,39.2505,39.235,-0.04%,Discount
11/01/2017,39.367,39.34,-0.07%,Discount
10/31/2017,39.3953,39.335,-0.15%,Discount
10/30/2017,39.3059,39.225,-0.21%,Discount
10/27/2017,39.2444,39.205,-0.10%,Discount
10/26/2017,39.2254,39.195,-0.08%,Discount
10/25/2017,39.2006,39.13,-0.18%,Discount
10/24/2017,39.2358,39.22,-0.04%,Discount
10/23/2017,39.0751,38.99,-0.22%,Discount
10/20/2017,39.0613,39.025,-0.09%,Discount
10/19/2017,38.9197,38.915,-0.01%,Discount
10/18/2017,39.0708,39.07,0.00%,Discount
10/17/2017,39.0135,39.0,-0.04%,Discount
10/16/2017,39.0248,39.03,0.01%,Premium
10/13/2017,38.916,38.87,-0.12%,Discount
10/12/2017,38.8243,38.78,-0.11%,Discount
10/11/2017,38.9526,38.905,-0.12%,Discount
10/10/2017,38.7972,38.785,-0.03%,Discount
10/09/2017,38.6351,38.615,-0.05%,Discount
10/06/2017,38.6302,38.585,-0.12%,Discount
10/05/2017,38.8271,38.78,-0.12%,Discount
10/04/2017,38.7854,38.775,-0.03%,Discount
10/03/2017,38.7199,38.73,0.03%,Premium
10/02/2017,38.6828,38.7,0.05%,Premium
09/29/2017,38.8326,38.74,-0.24%,Discount
09/28/2017,38.9369,38.925,-0.03%,Discount
09/27/2017,38.844,38.785,-0.15%,Discount
09/26/2017,38.9225,38.87,-0.14%,Discount
09/25/2017,38.9695,38.93,-0.10%,Discount
09/22/2017,38.8954,38.83,-0.17%,Discount
09/21/2017,38.7981,38.745,-0.14%,Discount
09/20/2017,38.8047,38.74,-0.17%,Discount
09/19/2017,38.8489,38.815,-0.09%,Discount
09/18/2017,38.7396,38.71,-0.08%,Discount
09/15/2017,38.7123,38.68,-0.08%,Discount
09/14/2017,38.7196,38.68,-0.10%,Discount
09/13/2017,38.6909,38.685,-0.02%,Discount
09/12/2017,38.8583,38.825,-0.09%,Discount
09/11/2017,38.9164,38.875,-0.11%,Discount
09/08/2017,38.9346,38.91,-0.06%,Discount
09/07/2017,39.0069,38.98,-0.07%,Discount
09/06/2017,38.9144,38.9,-0.04%,Discount
09/05/2017,38.8276,38.8,-0.07%,Discount
09/01/2017,38.7979,38.74,-0.15%,Discount
08/31/2017,38.8382,38.775,-0.16%,Discount
08/30/2017,38.7238,38.67,-0.14%,Discount
08/29/2017,38.8092,38.785,-0.06%,Discount
08/28/2017,38.7866,38.75,-0.09%,Discount
08/25/2017,38.8285,38.845,0.04%,Premium
08/24/2017,38.7617,38.745,-0.04%,Discount
08/23/2017,38.7218,38.735,0.03%,Premium
08/22/2017,38.6902,38.7,0.03%,Premium
08/21/2017,38.6474,38.675,0.07%,Premium
08/18/2017,38.6571,38.67,0.03%,Premium
08/17/2017,38.586,38.58,-0.02%,Discount
08/16/2017,38.5849,38.585,0.00%,Premium
08/15/2017,38.5119,38.51,-0.01%,Discount
08/14/2017,38.3885,38.44,0.13%,Premium
08/11/2017,38.4683,38.44,-0.07%,Discount
08/10/2017,38.4545,38.435,-0.05%,Discount
08/09/2017,38.4206,38.44,0.05%,Premium
08/08/2017,38.524,38.52,-0.01%,Discount
08/07/2017,38.5653,38.585,0.05%,Premium
08/04/2017,38.614,38.625,0.03%,Premium
08/03/2017,38.6188,38.615,-0.01%,Discount
08/02/2017,38.6518,38.63,-0.06%,Discount
08/01/2017,38.661,38.61,-0.13%,Discount
07/31/2017,38.7231,38.65,-0.19%,Discount
07/28/2017,38.7286,38.665,-0.16%,Discount
07/27/2017,38.8515,38.79,-0.16%,Discount
07/26/2017,39.0882,39.01,-0.20%,Discount
07/25/2017,39.1044,39.105,0.00%,Premium
07/24/2017,38.9528,38.945,-0.02%,Discount
07/21/2017,38.9127,38.885,-0.07%,Discount
07/20/2017,38.9403,38.925,-0.04%,Discount
07/19/2017,38.9672,38.985,0.05%,Premium
07/18/2017,39.0326,39.02,-0.03%,Discount
07/17/2017,39.0498,39.035,-0.04%,Discount
07/14/2017,39.0015,38.99,-0.03%,Discount
07/13/2017,39.0749,39.03,-0.12%,Discount
07/12/2017,39.0968,39.075,-0.06%,Discount
07/11/2017,39.0381,39.015,-0.06%,Discount
07/10/2017,38.925,38.9,-0.06%,Discount
07/07/2017,38.9978,39.03,0.08%,Premium
07/06/2017,38.8984,38.86,-0.10%,Discount
07/05/2017,38.823,38.795,-0.07%,Discount
07/03/2017,38.944,38.94,-0.01%,Discount
06/30/2017,39.0906,39.035,-0.14%,Discount
06/29/2017,39.2618,39.245,-0.04%,Discount
06/28/2017,39.3088,39.25,-0.15%,Discount
06/27/2017,39.3007,39.265,-0.09%,Discount
06/26/2017,39.3909,39.365,-0.07%,Discount
06/23/2017,39.3018,39.31,0.02%,Premium
06/22/2017,39.3489,39.35,0.00%,Premium
06/21/2017,39.2562,39.275,0.05%,Premium
06/20/2017,39.1668,39.145,-0.06%,Discount
06/19/2017,39.0953,39.08,-0.04%,Discount
06/16/2017,39.189,39.18,-0.02%,Discount
06/15/2017,39.1192,39.13,0.03%,Premium
06/14/2017,39.2148,39.135,-0.20%,Discount
06/13/2017,39.2165,39.25,0.09%,Premium
06/12/2017,39.2391,39.23,-0.02%,Discount
06/09/2017,39.3681,39.325,-0.11%,Discount
06/08/2017,39.5572,39.535,-0.06%,Discount
06/07/2017,39.6857,39.575,-0.28%,Discount
06/06/2017,39.6801,39.765,0.21%,Premium
06/05/2017,39.6011,39.59,-0.03%,Discount
06/02/2017,39.6268,39.655,0.07%,Premium
06/01/2017,39.47,39.54,0.18%,Premium
05/31/2017,39.4484,39.5,0.13%,Premium
05/30/2017,39.4692,39.47,0.00%,Premium
05/26/2017,39.6805,39.79,0.28%,Premium
05/25/2017,39.8161,39.775,-0.10%,Discount
05/24/2017,39.7731,39.7,-0.18%,Discount
05/23/2017,39.6295,39.595,-0.09%,Discount
05/22/2017,39.6549,39.65,-0.01%,Discount
05/19/2017,39.6968,39.64,-0.14%,Discount
05/18/2017,39.6357,39.605,-0.08%,Discount
05/17/2017,39.5242,39.495,-0.07%,Discount
05/16/2017,39.7309,39.68,-0.13%,Discount
05/15/2017,39.9869,39.95,-0.09%,Discount
05/12/2017,40.0453,40.035,-0.03%,Discount
05/11/2017,40.0302,39.98,-0.13%,Discount
05/10/2017,39.9055,39.865,-0.10%,Discount
05/09/2017,39.938,39.88,-0.15%,Discount
05/08/2017,39.8486,39.835,-0.03%,Discount
05/05/2017,39.948,39.855,-0.23%,Discount
05/04/2017,40.0437,40.0,-0.11%,Discount
05/03/2017,40.0394,40.06,0.05%,Premium
05/02/2017,39.9689,39.945,-0.06%,Discount
05/01/2017,39.959,39.9,-0.15%,Discount
04/28/2017,39.9307,39.88,-0.13%,Discount
04/27/2017,39.7726,39.75,-0.06%,Discount
04/26/2017,39.8183,39.8,-0.05%,Discount
04/25/2017,39.8365,39.76,-0.19%,Discount
04/24/2017,39.8737,39.815,-0.15%,Discount
04/21/2017,39.9383,39.9,-0.10%,Discount
04/20/2017,40.0361,39.995,-0.10%,Discount
04/19/2017,39.9943,39.975,-0.05%,Discount
04/18/2017,40.0177,40.005,-0.03%,Discount
04/17/2017,40.1712,40.125,-0.12%,Discount
04/13/2017,40.1013,40.015,-0.22%,Discount
04/12/2017,39.9427,39.94,-0.01%,Discount
04/11/2017,39.9568,39.94,-0.04%,Discount
04/10/2017,39.9606,39.905,-0.14%,Discount
04/07/2017,39.9508,39.9,-0.13%,Discount
04/06/2017,39.8391,39.795,-0.11%,Discount
04/05/2017,39.785,39.755,-0.08%,Discount
04/04/2017,39.7576,39.745,-0.03%,Discount
04/03/2017,39.6842,39.685,0.00%,Premium
03/31/2017,39.8429,39.77,-0.18%,Discount
03/30/2017,39.8092,39.78,-0.07%,Discount
03/29/2017,39.7716,39.69,-0.21%,Discount
03/28/2017,39.592,39.545,-0.12%,Discount
03/27/2017,39.4123,39.375,-0.10%,Discount
03/24/2017,39.4896,39.47,-0.05%,Discount
03/23/2017,39.4128,39.355,-0.15%,Discount
03/22/2017,39.4719,39.45,-0.06%,Discount
03/21/2017,39.4507,39.38,-0.18%,Discount
03/20/2017,39.6051,39.605,0.00%,Discount
03/17/2017,39.7677,39.725,-0.11%,Discount
03/16/2017,39.7223,39.67,-0.13%,Discount
03/15/2017,39.6645,39.65,-0.04%,Discount
03/14/2017,39.5627,39.575,0.03%,Premium
03/13/2017,39.6346,39.605,-0.08%,Discount
03/10/2017,39.7228,39.7,-0.06%,Discount
03/09/2017,39.8726,39.875,0.01%,Premium
03/08/2017,40.0252,39.99,-0.09%,Discount
03/07/2017,40.2856,40.27,-0.04%,Discount
03/06/2017,40.3319,40.325,-0.02%,Discount
03/03/2017,40.2724,40.26,-0.03%,Discount
03/02/2017,40.2329,40.185,-0.12%,Discount
03/01/2017,40.5718,40.53,-0.10%,Discount
02/28/2017,40.4982,40.48,-0.05%,Discount
02/27/2017,40.391,40.395,0.01%,Premium
02/24/2017,40.3898,40.345,-0.11%,Discount
02/23/2017,40.4107,40.385,-0.06%,Discount
02/22/2017,40.4563,40.425,-0.08%,Discount
02/21/2017,40.508,40.495,-0.03%,Discount
02/17/2017,40.5313,40.455,-0.19%,Discount
02/16/2017,40.5148,40.5,-0.04%,Discount
02/15/2017,40.7582,40.71,-0.12%,Discount
02/14/2017,40.8348,40.83,-0.01%,Discount
02/13/2017,40.8054,40.765,-0.10%,Discount
02/10/2017,40.8504,40.785,-0.16%,Discount
02/09/2017,40.646,40.645,0.00%,Discount
