Date,Nav,Mid Bid/Ask,P/D to NAV,P/D Indicator
08/17/2017,29.3732,29.38,0.02%,Premium
08/16/2017,29.8518,29.845,-0.02%,Discount
08/15/2017,29.8049,29.825,0.07%,Premium
08/14/2017,29.9081,29.925,0.06%,Premium
08/11/2017,29.5561,29.57,0.05%,Premium
08/10/2017,29.4799,29.495,0.05%,Premium
08/09/2017,29.8645,29.88,0.05%,Premium
08/08/2017,30.0049,30.02,0.05%,Premium
08/07/2017,30.1239,30.14,0.05%,Premium
08/04/2017,30.0349,30.045,0.03%,Premium
08/03/2017,29.9549,29.97,0.05%,Premium
08/02/2017,30.0979,30.11,0.04%,Premium
08/01/2017,30.274,30.295,0.07%,Premium
07/31/2017,30.185,30.205,0.07%,Premium
07/28/2017,30.2105,30.235,0.08%,Premium
07/27/2017,30.3441,30.36,0.05%,Premium
07/26/2017,30.4519,30.46,0.03%,Premium
07/25/2017,30.5791,30.6,0.07%,Premium
07/24/2017,30.4782,30.495,0.06%,Premium
07/21/2017,30.4807,30.495,0.05%,Premium
07/20/2017,30.5313,30.535,0.01%,Premium
07/19/2017,30.5421,30.535,-0.02%,Discount
07/18/2017,30.3372,30.36,0.08%,Premium
07/17/2017,30.4225,30.435,0.04%,Premium
07/14/2017,30.3724,30.375,0.01%,Premium
07/13/2017,30.2525,30.27,0.06%,Premium
07/12/2017,30.2431,30.25,0.02%,Premium
07/11/2017,30.0437,30.07,0.09%,Premium
07/10/2017,30.0656,30.09,0.08%,Premium
07/07/2017,30.0974,30.125,0.09%,Premium
07/06/2017,29.8254,29.84,0.05%,Premium
07/05/2017,30.1726,30.175,0.01%,Premium
07/03/2017,30.1854,30.215,0.10%,Premium
06/30/2017,30.1697,30.205,0.12%,Premium
06/29/2017,30.1694,30.2,0.10%,Premium
06/28/2017,30.3217,30.35,0.09%,Premium
06/27/2017,30.2144,30.22,0.02%,Premium
06/26/2017,30.3586,30.36,0.00%,Premium
06/23/2017,30.3382,30.35,0.04%,Premium
06/22/2017,30.2258,30.235,0.03%,Premium
06/21/2017,30.1357,30.13,-0.02%,Discount
06/20/2017,30.1086,30.12,0.04%,Premium
06/19/2017,30.2859,30.3,0.05%,Premium
06/16/2017,30.1078,30.09,-0.06%,Discount
06/15/2017,30.0971,30.11,0.04%,Premium
06/14/2017,30.1072,30.12,0.04%,Premium
06/13/2017,30.0673,30.07,0.01%,Premium
06/12/2017,29.9868,30.0,0.04%,Premium
06/09/2017,29.9589,29.98,0.07%,Premium
06/08/2017,30.0163,30.01,-0.02%,Discount
06/07/2017,29.8908,29.88,-0.04%,Discount
06/06/2017,29.8338,29.84,0.02%,Premium
06/05/2017,29.8968,29.91,0.04%,Premium
06/02/2017,29.9329,29.945,0.04%,Premium
06/01/2017,29.8471,29.83,-0.06%,Discount
05/31/2017,29.4759,29.475,0.00%,Discount
05/30/2017,29.4724,29.48,0.03%,Premium
05/26/2017,29.5203,29.515,-0.02%,Discount
05/25/2017,29.523,29.535,0.04%,Premium
05/24/2017,29.3752,29.39,0.05%,Premium
05/23/2017,29.2485,29.25,0.01%,Premium
05/22/2017,29.2646,29.27,0.02%,Premium
05/19/2017,29.1048,29.1,-0.02%,Discount
05/18/2017,28.8799,28.9,0.07%,Premium
05/17/2017,28.7813,28.785,0.01%,Premium
05/16/2017,29.3042,29.315,0.04%,Premium
05/15/2017,29.431,29.44,0.03%,Premium
05/12/2017,29.2572,29.265,0.03%,Premium
05/11/2017,29.3886,29.39,0.01%,Premium
05/10/2017,29.499,29.51,0.04%,Premium
05/09/2017,29.3377,29.345,0.03%,Premium
05/08/2017,29.3031,29.3,-0.01%,Discount
05/05/2017,29.3508,29.345,-0.02%,Discount
05/04/2017,29.1728,29.175,0.01%,Premium
05/03/2017,29.1686,29.185,0.06%,Premium
05/02/2017,29.2664,29.26,-0.02%,Discount
05/01/2017,29.2706,29.28,0.03%,Premium
04/28/2017,29.2371,29.245,0.03%,Premium
04/27/2017,29.3741,29.385,0.04%,Premium
04/26/2017,29.3138,29.32,0.02%,Premium
04/25/2017,29.3718,29.39,0.06%,Premium
04/24/2017,29.1707,29.18,0.03%,Premium
04/21/2017,28.8786,28.9,0.07%,Premium
04/20/2017,28.9994,29.035,0.12%,Premium
04/19/2017,28.8175,28.82,0.01%,Premium
04/18/2017,28.7985,28.81,0.04%,Premium
04/17/2017,28.8226,28.82,-0.01%,Discount
04/13/2017,28.5747,28.605,0.11%,Premium
04/12/2017,28.7574,28.77,0.04%,Premium
04/11/2017,28.935,28.925,-0.04%,Discount
04/10/2017,28.9111,28.945,0.12%,Premium
04/07/2017,28.8308,28.835,0.01%,Premium
04/06/2017,28.8458,28.84,-0.02%,Discount
04/05/2017,28.7346,28.755,0.07%,Premium
04/04/2017,28.8502,28.84,-0.04%,Discount
04/03/2017,28.8594,28.86,0.00%,Premium
03/31/2017,28.976,29.015,0.13%,Premium
03/30/2017,28.9987,29.02,0.07%,Premium
03/29/2017,28.8849,28.89,0.02%,Premium
03/28/2017,28.8545,28.885,0.11%,Premium
03/27/2017,28.704,28.725,0.07%,Premium
03/24/2017,28.6643,28.7,0.12%,Premium
03/23/2017,28.6285,28.645,0.06%,Premium
03/22/2017,28.6302,28.63,0.00%,Discount
03/21/2017,28.5586,28.555,-0.01%,Discount
03/20/2017,28.9793,29.005,0.09%,Premium
